"txname"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"GENEID"
"ENST00000532634.5"	"11.8477941600069"	"-24.9850511668929"	"1.95693299243089"	"-12.7674535937261"	"2.49173409731982e-37"	"3.12617943317939e-32"	"ENSG00000137216.19"
"ENST00000638794.1"	"13.4388211674026"	"24.3490664434181"	"2.33760781337622"	"10.4162324852306"	"2.09071791852004e-25"	"1.3115282574668e-20"	"ENSG00000205571.14"
"ENST00000353660.7"	"7.13553992850247"	"-24.2912037361955"	"2.49183082999197"	"-9.74833581952022"	"1.87516929384507e-22"	"7.84208299814635e-18"	"ENSG00000125826.21"
"ENST00000349830.8"	"11.0787964044165"	"-24.8941029430343"	"2.56449489813535"	"-9.70721484419209"	"2.80907929106799e-22"	"8.81081765039932e-18"	"ENSG00000104728.16"
"ENST00000473685.5"	"25.5716439773059"	"-26.0053073676904"	"2.90018675936222"	"-8.96676991015891"	"3.05337070012726e-19"	"7.66163989558733e-15"	"ENSG00000225859.10"
"ENST00000649031.1"	"41.8288976979286"	"25.9303318228972"	"2.90013074558074"	"8.94109062579683"	"3.85348192143447e-19"	"8.05775914711685e-15"	"ENSG00000106031.9"
"ENST00000617176.4"	"14.5325234347753"	"-24.7760542534374"	"2.90029548066796"	"-8.54259657975652"	"1.31238932223589e-17"	"2.35221413066227e-13"	"ENSG00000273873.4"
"ENST00000532063.5"	"8.48891090154881"	"21.3376450941203"	"2.51975942538268"	"8.46812790109109"	"2.49368409276968e-17"	"3.91078242058837e-13"	"ENSG00000166333.14"
"ENST00000369985.8"	"6.71916396893252"	"-24.2167359882822"	"2.90058798021797"	"-8.34890586096353"	"6.88982233856399e-17"	"9.60456544712129e-13"	"ENSG00000196586.16"
"ENST00000423567.1"	"5.48467923612024"	"0.868563021930887"	"0.172116576956362"	"5.04636472145912"	"4.5029545443686e-07"	"0.00564949683045574"	"ENSG00000164663.15"
"ENST00000631211.1"	"42844.8267381403"	"-2.01718753297243"	"0.431305691591289"	"-4.67693232966641"	"2.91198298594936e-06"	"0.0332130190348344"	"ENSG00000280800.1"
